1669833765304986,0,0
1669834765245454,0,0
1669835767502537,0,0
1669836772684360,0,0
1669837771859672,0,0
1669838774920609,0,0
1669839770861598,0,0
1669840776476233,1024,0
1669841777487222,1108992,0
1669842778571024,1049600,0
1669843779741440,1216512,0
1669844783940294,1129472,0
1669845784280710,854016,0
1669846786831075,897024,0
1669847786360970,988160,0
1669848786933209,967680,0
1669849788816438,890880,0
1669850789791229,942080,0
1669851789950812,794624,0
1669852790795031,775168,0
1669853792831384,973824,0
1669854796367530,788480,0
1669855799172061,479232,0
1669856800992373,457728,0
1669857800454768,462848,0
1669858803211018,727040,0
1669859802614091,831488,0
1669860807683778,812032,0
1669861809825652,979968,0
1669862809630808,1010688,0
1669863810161849,1163264,0
1669864813751276,807936,0
1669865814131692,814080,0
1669866818346015,927744,0
1669867818152369,1099776,0
1669868816841223,1024000,0
1669869820443097,1299456,0
1669870819035753,715776,0
1669871819789815,770048,0
1669872824809450,841738,425984
1669873824351637,387072,5784576
1669874825572106,421888,5884928
1669875830578772,305152,3986432
1669876833629865,339968,4618240
1669877834972834,430080,5356544
1669878838072833,437248,6985728
1669879840608250,593920,5896192
1669880841534343,412672,5801984
1669881843229186,516096,5922816
1669882845147363,536576,4996096
1669883846559706,345088,2799616
1669884850231060,453632,4608000
1669885854886268,564224,5480448
1669886860090539,598016,5023744
1669887862726424,515072,5870592
1669888862805902,424960,5706752
1669889868631996,363520,5858304
1669890866991735,483328,4082688
1669891866431735,419840,6836224
1669892871885120,867337,3509248
1669893876597203,1379328,0
1669894876472358,1179648,0
1669895881140275,845824,0
1669896881766889,718848,0
1669897884853295,1344512,0
1669898886959909,1419264,0
1669899889315117,1390592,0
1669900892674804,1270784,0
1669901900165377,1338368,0
1669902904099335,1398784,0
1669903909916678,1538048,0
1669904909470532,1383424,0
1669905912488500,1431552,0
1669906913937198,1408000,0
1669907914009385,987136,0
1669908919068811,1102848,0
1669909921728707,1033216,0
1669910922401415,0,0
1669911923639123,0,0
1669912929582299,0,0
1669913932802612,0,0
